age_group,gender,race,education,income,party_id,ideology,voted_2020,ideology_5pt,education_expanded,race_expanded,income_change_2024,vote_intention_2024,name,age,congressional_district,abortion_access,immigration_daca,gun_background_checks,epa_regulations,student_loan_forgiveness,political_typology
30-44,Male,White,No HS,<30k,Independent,Liberal,Trump,Liberal,HS Grad,White,Decreased,"Yes, definitely",Reagan A.,36,TX-01,Support,Support,Support,Oppose,Oppose,Libertarian Leaning
65+,Female,White,Some College,100k+,Democrat,Liberal,Biden,Very liberal,2-year,Other/Mixed,Increased,No,Jamie R.,80,IL-01,Support,Support,Support,Support,Oppose,Left-Liberal
45-64,Male,White,Some College,30-60k,Democrat,Liberal,Biden,Liberal,Postgrad,Hispanic,Increased,"Yes, definitely",Blake G.,24,MA-01,Support,Support,Support,Support,Support,Populist Right
45-64,Female,Hispanic,College Grad,100k+,Democrat,Very Liberal,Biden,Moderate,4-year,Asian,Same,"Yes, definitely",Morgan J.,66,MN-09,Oppose,Support,Support,Support,Support,Populist Right
18-29,Female,White,College Grad,30-60k,Democrat,Liberal,Biden,Moderate,4-year,Other/Mixed,Same,Already voted,Emerson T.,83,KS-13,Oppose,Support,Support,Support,Support,Left-Liberal
18-29,Male,White,Postgrad,100k+,Republican,Moderate,Trump,Very conservative,4-year,White,Decreased,Plan to vote early,Corey D.,46,SC-07,Support,Support,Support,Support,Oppose,Left-Liberal
18-29,Male,White,Some College,30-60k,Other,Liberal,Biden,Conservative,4-year,White,Same,Already voted,Taylor A.,28,HI-02,Oppose,Support,Support,Support,Oppose,Left-Liberal
65+,Female,Black,HS Grad,<30k,Independent,Moderate,Trump,Moderate,4-year,Black,Same,Already voted,Jamie J.,84,OR-03,Oppose,Support,Support,Support,Support,Left-Liberal
45-64,Male,White,College Grad,100k+,Other,Moderate,Biden,Liberal,HS Grad,Black,Same,"Yes, definitely",Reagan R.,53,MT-15,Support,Support,Support,Support,Support,Populist Right
45-64,Male,White,HS Grad,<30k,Independent,Conservative,Trump,Moderate,Some College,White,Decreased,Already voted,Skylar J.,18,LA-08,Oppose,Oppose,Support,Support,Support,Left-Liberal
18-29,Male,White,Some College,30-60k,Democrat,Very Liberal,Trump,Moderate,HS Grad,Black,Same,"Yes, definitely",Alex L.,20,ND-15,Support,Oppose,Support,Support,Oppose,Populist Right
65+,Male,Black,HS Grad,100k+,Republican,Conservative,Trump,Conservative,Postgrad,White,Same,No,Jamie J.,59,SC-07,Support,Support,Support,Support,Oppose,Left-Liberal
65+,Female,White,No HS,100k+,Other,Conservative,Biden,Moderate,Postgrad,White,Increased,"Yes, definitely",Casey R.,40,ME-08,Support,Oppose,Support,Oppose,Support,Center-Left Moderate
30-44,Female,White,Postgrad,60-100k,Democrat,Very Liberal,Biden,Moderate,HS Grad,White,Decreased,Already voted,Shawn A.,76,MO-14,Support,Support,Support,Support,Support,Left-Liberal
18-29,Female,Black,College Grad,60-100k,Democrat,Conservative,Biden,Moderate,4-year,White,Same,"Yes, definitely",Skylar J.,84,TN-10,Support,Support,Support,Support,Support,Libertarian Leaning
18-29,Female,White,College Grad,30-60k,Republican,Very Conservative,Trump,Moderate,Postgrad,White,Increased,Probably,Alex G.,83,WI-04,Oppose,Support,Support,Oppose,Oppose,Center-Left Moderate
